Date,Time,Account,Debit/Credit,Amount,Description,Preparer,Approver,Timestamp
2025-03-28,15:50:01,Cash,Credit,6196.23,Movie win her need stop peace technology.,Gabrielle Davis,Gina Moore,2025-03-28 15:50:01
2025-05-19,11:54:53,Sales Revenue,Credit,9767.49,Relate animal direction eye bag.,Ryan Munoz,Daniel Wagner,2025-05-19 11:54:53
2025-04-16,01:01:44,Cash,Debit,8197.12,Herself law street class.,Angie Henderson,Gabrielle Davis,2025-04-16 01:01:44
2025-04-27,22:25:39,Accounts Payable,Credit,6015.71,Prove reduce raise author play.,Angie Henderson,Connie Lawrence,2025-04-27 22:25:39
2025-05-15,07:13:23,Rent Expense,Debit,9302.35,Clear here writer policy news.,Abigail Shaffer,Angie Henderson,2025-05-15 07:13:23
2025-04-24,22:13:13,Sales Revenue,Credit,4842.45,Director allow firm environment.,Ryan Munoz,Cristian Santos,2025-04-24 22:13:13
2025-04-13,22:12:45,Cash,Credit,6944.2,Then fire pretty how trip learn enter.,Cristian Santos,Angie Henderson,2025-04-13 22:12:45
2025-04-17,09:16:14,Sales Revenue,Debit,563.76,Much section investment on gun young catch.,Gabrielle Davis,Connie Lawrence,2025-04-17 09:16:14
2025-05-11,08:33:43,Rent Expense,Credit,5132.53,Sense technology check civil.,Connie Lawrence,Noah Rhodes,2025-05-11 08:33:43
2025-05-04,10:17:27,Travel Expense,Credit,3439.05,As high you more wife team activity result.,Abigail Shaffer,Gabrielle Davis,2025-05-04 10:17:27
2025-05-15,13:49:06,Accounts Payable,Debit,1231.06,Shoulder future fall citizen about.,Angie Henderson,Gabrielle Davis,2025-05-15 13:49:06
2025-04-19,00:19:40,Rent Expense,Credit,8556.54,Seven medical blood personal success medical current.,Abigail Shaffer,Allison Hill,2025-04-19 00:19:40
2025-04-29,17:52:09,Travel Expense,Credit,6316.91,Much single morning a.,Gabrielle Davis,Angie Henderson,2025-04-29 17:52:09
2025-04-24,21:55:31,Accounts Payable,Credit,9182.78,Affect upon these story film around there.,Cristian Santos,Gina Moore,2025-04-24 21:55:31
2025-04-01,02:06:15,Accounts Payable,Debit,7034.1,Rule staff within mouth.,Cristian Santos,Allison Hill,2025-04-01 02:06:15
2025-04-05,15:37:48,Sales Revenue,Credit,4082.41,Process water close month.,Cristian Santos,Connie Lawrence,2025-04-05 15:37:48
2025-05-22,08:03:11,Rent Expense,Debit,6281.46,Who up sense ready require human.,Gina Moore,Daniel Wagner,2025-05-22 08:03:11
2025-04-29,16:43:11,Sales Revenue,Debit,2174.27,Tonight later easy ask again network.,Angie Henderson,Noah Rhodes,2025-04-29 16:43:11
2025-05-20,13:45:06,Rent Expense,Debit,1263.26,According remain arrive attack all.,Ryan Munoz,Daniel Wagner,2025-05-20 13:45:06
2025-04-25,12:32:28,Accounts Receivable,Debit,368.09,Method everything magazine much.,Cristian Santos,Gabrielle Davis,2025-04-25 12:32:28
